icao,lat,lon,arrival,departure
CYVR,49.194722,-123.183889,2022-11-12 0:00:00.000,2022-11-12 18:36:00.000
CBBC,52.185,-128.156667,2022-11-12 20:24:00.000,2022-11-14 18:50:00.000
CZST,55.933333,-129.983333,2022-11-14 20:24:00.000,2022-11-18 18:28:00.000
PAJN,58.355,-134.576389,2022-11-18 19:42:00.000,2022-11-19 19:02:00.000
PAYA,59.503333,-139.660278,2022-11-19 20:12:00.000,2022-11-22 16:11:00.000
PANC,61.174167,-149.998333,2022-11-22 18:02:00.000,2022-11-23 18:32:00.000
PADU,53.898889,-166.545,2022-11-23 22:07:00.000,2022-11-25 16:40:00.000
PADK,51.878056,-176.646111,2022-11-25 18:59:00.000,2022-11-26 23:59:00.000
UHPX,55.178333,166.048333,2022-11-27 03:22:00.000,2022-11-27 19:26:00.000
UHPP,53.1677,158.4536,2022-11-27 21:18:00.000,2022-12-14 00:58:00.000
UHMM,59.9143296,150.7289159,2022-12-14 03:21:00.000,2022-12-16 02:58:00.000
UHSN,51.783889,143.141667,2022-12-16 05:47:00.000,2022-12-16 18:25:00.000
RJCO,43.1175,141.381389,2022-12-16 21:29:00.000,2022-12-17 00:22:00.000
RJNK,36.393889,136.4075,2022-12-17 03:47:00.000,2022-12-17 20:02:00.000
RKPK,35.179444,128.938333,2022-12-17 23:31:00.000,2022-12-19 01:37:00.000
ZSSS,31.198056,121.336389,2022-12-19 06:01:00.000,2022-12-20 18:42:00.000
ZGUA,23.3925,113.298889,2022-12-20 21:26:00.000,2022-12-21 01:09:00.000
ZPPP,25.101944,102.929167,2022-12-21 05:04:00.000,2022-12-23 00:24:00.000
VQGP,26.886218,90.463057,2022-12-23 04:40:00.000,2022-12-27 04:05:00.000
VNKT,27.696389,85.358889,2022-12-27 06:09:00.000,2022-12-27 06:09:00.000